,Weekly_Earnings
1/1/2010,816.31
2/1/2010,820.76
3/1/2010,821.81
4/1/2010,839
5/1/2010,848.97
6/1/2010,831.6
7/1/2010,832.02
8/1/2010,849.73
9/1/2010,833.41
10/1/2010,845.15
11/1/2010,838.89
12/1/2010,838.25
1/1/2011,831.47
2/1/2011,839.39
3/1/2011,839.38
4/1/2011,847.37
5/1/2011,856.68
6/1/2011,845.95
7/1/2011,844.6
8/1/2011,842.51
9/1/2011,839.38
10/1/2011,865.49
11/1/2011,840.39
12/1/2011,843.15
1/1/2012,857.12
2/1/2012,835.8
3/1/2012,836.15
4/1/2012,856.03
5/1/2012,823.02
6/1/2012,827.13
7/1/2012,849.73
8/1/2012,832.76
9/1/2012,853.25
10/1/2012,830.07
11/1/2012,841.13
12/1/2012,870.14
1/1/2013,847.82
2/1/2013,857.73
3/1/2013,856.78
4/1/2013,860.63
5/1/2013,851.89
6/1/2013,878.63
7/1/2013,851.89
8/1/2013,861.65
9/1/2013,894.63
10/1/2013,868.26
11/1/2013,879.26
12/1/2013,907.85
1/1/2014,883.46
2/1/2014,887.74
3/1/2014,912.24
4/1/2014,889.21
5/1/2014,885.32
6/1/2014,916.89
7/1/2014,894.95
8/1/2014,912.97
9/1/2014,906.86
10/1/2014,907.46
11/1/2014,936.53
12/1/2014,913.21
1/1/2015,917.52
2/1/2015,938.1
3/1/2015,929.1
4/1/2015,908.45
5/1/2015,909.92
6/1/2015,904.18
7/1/2015,909.3
8/1/2015,940.7
9/1/2015,910.37
10/1/2015,925.94
11/1/2015,938.98
12/1/2015,932.26
1/1/2016,930.12
2/1/2016,933.68
3/1/2016,933.68
4/1/2016,934.03
5/1/2016,956.12
6/1/2016,933.68
7/1/2016,938.35
8/1/2016,938.75
9/1/2016,937.37
10/1/2016,980.99
11/1/2016,947.69
12/1/2016,949.42
1/1/2017,974.97
2/1/2017,950.08
3/1/2017,944.26
4/1/2017,979.29
5/1/2017,949.79
6/1/2017,953.9
7/1/2017,982.1
8/1/2017,967.78
9/1/2017,972.06
10/1/2017,1015.27
11/1/2017,981.05
12/1/2017,992.91
1/1/2018,992.1
2/1/2018,1008.5
3/1/2018,1001.63
4/1/2018,1036.51
5/1/2018,1006.6
6/1/2018,1012
7/1/2018,1031.2
8/1/2018,1009.31
9/1/2018,1050.53
10/1/2018,1024.16
11/1/2018,995.44
12/1/2018,1030.85
1/1/2019,1012.39
2/1/2019,1003.79
3/1/2019,1011.29
4/1/2019,996.07
5/1/2019,999.25
6/1/2019,1029.7
7/1/2019,999.71
8/1/2019,1010.36
9/1/2019,1028.9
10/1/2019,1019.14
11/1/2019,1004.78
12/1/2019,1033.7
1/1/2020,1011.16
2/1/2020,1027.47
3/1/2020,1014.13
4/1/2020,1053.32
5/1/2020,1042.84
6/1/2020,1029.83
7/1/2020,1031.4
8/1/2020,1075.46
9/1/2020,1055.83
10/1/2020,1067.59
11/1/2020,1092.44
12/1/2020,1075.82
1/1/2021,1077.3
2/1/2021,1055.48
3/1/2021,1031.64
