,Weekly_Hours
1/1/2010,33.9
2/1/2010,34
3/1/2010,34.1
4/1/2010,34.9
5/1/2010,35.3
6/1/2010,35
7/1/2010,34.9
8/1/2010,35.2
9/1/2010,34.9
10/1/2010,35.2
11/1/2010,35.1
12/1/2010,35
1/1/2011,33.1
2/1/2011,34.7
3/1/2011,34.8
4/1/2011,34.9
5/1/2011,35.4
6/1/2011,35
7/1/2011,34.8
8/1/2011,34.8
9/1/2011,34.8
10/1/2011,35.5
11/1/2011,34.9
12/1/2011,35
1/1/2012,35.2
2/1/2012,35
3/1/2012,35
4/1/2012,35.3
5/1/2012,34.8
6/1/2012,34.9
7/1/2012,35.2
8/1/2012,34.8
9/1/2012,35.2
10/1/2012,34.5
11/1/2012,34.6
12/1/2012,35.2
1/1/2013,34.2
2/1/2013,34.6
3/1/2013,34.8
4/1/2013,34.9
5/1/2013,34.7
6/1/2013,35.4
7/1/2013,34.7
8/1/2013,34.8
9/1/2013,35.6
10/1/2013,34.8
11/1/2013,35.1
12/1/2013,35.7
1/1/2014,34.7
2/1/2014,34
3/1/2014,36
4/1/2014,35.3
5/1/2014,35.3
6/1/2014,35.9
7/1/2014,35
8/1/2014,35.4
9/1/2014,35.3
10/1/2014,35.2
11/1/2014,35.8
12/1/2014,35.3
1/1/2015,34.9
2/1/2015,35.4
3/1/2015,35.3
4/1/2015,34.9
5/1/2015,35.2
6/1/2015,35.1
7/1/2015,35
8/1/2015,35.7
9/1/2015,34.8
10/1/2015,35.1
11/1/2015,35.3
12/1/2015,35.1
1/1/2016,34.5
2/1/2016,34.8
3/1/2016,34.8
4/1/2016,34.8
5/1/2016,35.1
6/1/2016,34.8
7/1/2016,34.6
8/1/2016,34.5
9/1/2016,34.5
10/1/2016,35.3
11/1/2016,34.6
12/1/2016,34.6
1/1/2017,34.5
2/1/2017,34.2
3/1/2017,34.2
4/1/2017,34.9
5/1/2017,34.5
6/1/2017,34.7
7/1/2017,35.1
8/1/2017,34.7
9/1/2017,34.3
10/1/2017,35.4
11/1/2017,35
12/1/2017,34.9
1/1/2018,34.4
2/1/2018,34.8
3/1/2018,34.9
4/1/2018,35.4
5/1/2018,35
6/1/2018,35.2
7/1/2018,35.4
8/1/2018,34.9
9/1/2018,35.3
10/1/2018,34.8
11/1/2018,34.6
12/1/2018,35.4
1/1/2019,34.4
2/1/2019,34.4
3/1/2019,34.8
4/1/2019,34.3
5/1/2019,34.6
6/1/2019,35.3
7/1/2019,34.7
8/1/2019,34.9
9/1/2019,35.2
10/1/2019,34.7
11/1/2019,34.6
12/1/2019,35.1
1/1/2020,34.3
2/1/2020,34.7
3/1/2020,34.6
4/1/2020,34
5/1/2020,34.6
6/1/2020,34.5
7/1/2020,34.3
8/1/2020,35.1
9/1/2020,34.8
10/1/2020,34.9
11/1/2020,35.4
12/1/2020,35.1
1/1/2021,35
2/1/2021,34.8
3/1/2021,34.9
