,Weekly_earnings
1/1/2010,772.29
2/1/2010,764.9
3/1/2010,764.25
4/1/2010,780.76
5/1/2010,785.16
6/1/2010,782.84
7/1/2010,771.94
8/1/2010,773.14
9/1/2010,770.7
10/1/2010,771.4
11/1/2010,768.6
12/1/2010,774.31
1/1/2011,782.25
2/1/2011,779.92
3/1/2011,785.88
4/1/2011,783.91
5/1/2011,798.17
6/1/2011,780.35
7/1/2011,786.48
8/1/2011,780.57
9/1/2011,781.99
10/1/2011,791.54
11/1/2011,761.6
12/1/2011,771.37
1/1/2012,806.67
2/1/2012,770.25
3/1/2012,755.8
4/1/2012,781.9
5/1/2012,757.19
6/1/2012,770.06
7/1/2012,778.31
8/1/2012,769.34
9/1/2012,788.76
10/1/2012,749.06
11/1/2012,755.79
12/1/2012,781.16
1/1/2013,756.28
2/1/2013,766.72
3/1/2013,777.38
4/1/2013,764.32
5/1/2013,765.35
6/1/2013,795.7
7/1/2013,778.72
8/1/2013,765.03
9/1/2013,793.87
10/1/2013,776.5
11/1/2013,797.04
12/1/2013,814.32
1/1/2014,799.33
2/1/2014,817.53
3/1/2014,826.78
4/1/2014,826.28
5/1/2014,846.67
6/1/2014,846.91
7/1/2014,819.67
8/1/2014,814.55
9/1/2014,811.01
10/1/2014,800.4
11/1/2014,827.51
12/1/2014,775.83
1/1/2015,780.88
2/1/2015,796.61
3/1/2015,804.65
4/1/2015,788.38
5/1/2015,784.39
6/1/2015,794.15
7/1/2015,786.46
8/1/2015,810.49
9/1/2015,788.88
10/1/2015,798.79
11/1/2015,812.57
12/1/2015,811.08
1/1/2016,810.75
2/1/2016,804.45
3/1/2016,810.03
4/1/2016,823.55
5/1/2016,845.5
6/1/2016,842.96
7/1/2016,855.26
8/1/2016,853.14
9/1/2016,863.01
10/1/2016,885.36
11/1/2016,899.3
12/1/2016,902.16
1/1/2017,903.92
2/1/2017,893.44
3/1/2017,880
4/1/2017,893.65
5/1/2017,887.15
6/1/2017,886.07
7/1/2017,907.55
8/1/2017,883.17
9/1/2017,896.97
10/1/2017,895.56
11/1/2017,898.1
12/1/2017,908.16
1/1/2018,865.08
2/1/2018,898.21
3/1/2018,910.39
4/1/2018,934.56
5/1/2018,917.77
6/1/2018,938.24
7/1/2018,950.33
8/1/2018,945.84
9/1/2018,988.57
10/1/2018,958
11/1/2018,963.12
12/1/2018,991.75
1/1/2019,934.68
2/1/2019,979.97
3/1/2019,968.28
4/1/2019,954.27
5/1/2019,961.66
6/1/2019,996.84
7/1/2019,966.67
8/1/2019,979.09
9/1/2019,999.72
10/1/2019,971.17
11/1/2019,983.35
12/1/2019,1005.39
1/1/2020,980.34
2/1/2020,999.29
3/1/2020,970.4
4/1/2020,983.05
5/1/2020,964.29
6/1/2020,958.23
7/1/2020,966.3
8/1/2020,1002.46
9/1/2020,978.23
10/1/2020,985.18
11/1/2020,1029.17
12/1/2020,1015.31
1/1/2021,1013.15
2/1/2021,1023.75
3/1/2021,1035.32
